2024-04-02 19:19:49.119 [info] Log level: Info
2024-04-02 19:19:49.119 [info] Validating found git in: "git"
2024-04-02 19:19:49.119 [info] Using git "2.44.0" from "git"
2024-04-02 19:19:49.119 [info] > git rev-parse --show-toplevel [2ms]
2024-04-02 19:19:49.119 [info] > git rev-parse --show-toplevel [24ms]
2024-04-02 19:19:49.156 [info] > git rev-parse --show-toplevel [28ms]
2024-04-02 19:19:49.165 [info] > git rev-parse --show-toplevel [4ms]
2024-04-02 19:19:49.175 [info] > git rev-parse --show-toplevel [0ms]
2024-04-02 19:19:49.178 [info] > git rev-parse --show-toplevel [0ms]
2024-04-02 19:19:49.182 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 19:19:49.185 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 19:19:49.189 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 19:19:49.193 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 19:19:49.197 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 19:19:49.201 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 19:19:49.204 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 19:19:49.207 [info] > git rev-parse --show-toplevel [0ms]
2024-04-02 19:19:49.209 [info] > git rev-parse --show-toplevel [0ms]
2024-04-02 19:19:49.212 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 19:19:49.215 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 19:19:49.220 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 19:19:49.223 [info] > git rev-parse --show-toplevel [0ms]
2024-04-02 19:19:49.229 [info] > git rev-parse --show-toplevel [3ms]
2024-04-02 19:19:49.232 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 19:19:49.235 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 19:19:49.238 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 19:19:49.241 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 19:19:49.244 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 19:19:49.247 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 19:19:49.250 [info] > git rev-parse --show-toplevel [0ms]
2024-04-02 19:19:49.253 [info] > git rev-parse --show-toplevel [0ms]
2024-04-02 19:19:49.256 [info] > git rev-parse --show-toplevel [0ms]
2024-04-02 19:19:49.259 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 19:19:49.262 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 19:19:49.265 [info] > git rev-parse --show-toplevel [0ms]
2024-04-02 19:19:49.268 [info] > git rev-parse --show-toplevel [0ms]
2024-04-02 19:19:49.271 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 19:19:49.274 [info] > git rev-parse --show-toplevel [0ms]
2024-04-02 19:19:49.277 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 19:19:49.280 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 19:19:49.283 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 19:19:49.285 [info] > git rev-parse --show-toplevel [0ms]
2024-04-02 19:19:49.288 [info] > git rev-parse --show-toplevel [0ms]
2024-04-02 19:19:49.291 [info] > git rev-parse --show-toplevel [0ms]
2024-04-02 19:19:49.296 [info] > git rev-parse --show-toplevel [2ms]
2024-04-02 19:19:49.300 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 19:19:49.303 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 19:19:49.305 [info] > git rev-parse --show-toplevel [0ms]
2024-04-02 19:19:49.308 [info] > git rev-parse --show-toplevel [0ms]
2024-04-02 19:19:49.311 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 19:19:49.314 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 19:19:49.317 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 19:19:49.319 [info] > git rev-parse --show-toplevel [0ms]
2024-04-02 19:19:49.322 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 19:19:49.325 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 19:19:49.328 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 19:19:49.331 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 19:19:49.334 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 19:19:49.337 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 19:19:49.340 [info] > git rev-parse --show-toplevel [1ms]
2024-04-02 19:19:49.342 [info] > git rev-parse --show-toplevel [0ms]
